category,required_action,matched_action,status,status_ru,match_type,description,source_row
Лиды,lead_stage_list,lead_stage_list,implemented_exact,Реализовано точным совпадением,exact,Получить стадии лидов и ID стадии по названию,Что уже есть#2
Сделки и воронки,deal_category_list,deal_category_list,implemented_exact,Реализовано точным совпадением,exact,Получить список воронок сделок или найти воронку по названию,Что уже есть#3
Сделки и воронки,deal_stage_list,deal_stage_list,implemented_exact,Реализовано точным совпадением,exact,Получить список стадий сделок в конкретной воронке,Что уже есть#4
Сделки и воронки,create_deal,create_deal,implemented_exact,Реализовано точным совпадением,exact,Создать новую сделку в выбранной воронке,Что уже есть#5
Сделки и воронки,create_default_funnel,create_default_funnel,implemented_exact,Реализовано точным совпадением,exact,Создать новую воронку со стандартными стадиями,Что уже есть#6
Сделки и воронки,create_funnel_with_custom_stages,create_funnel_with_custom_stages,implemented_exact,Реализовано точным совпадением,exact,Создать новую воронку с кастомными рабочими стадиями,Что уже есть#7
Сделки и воронки,create_new_funnel_stage,create_new_funnel_stage,implemented_exact,Реализовано точным совпадением,exact,Добавить новую стадию в CRM-воронку,Что уже есть#8
Сделки и воронки,rename_funnel_title,rename_funnel_title,implemented_exact,Реализовано точным совпадением,exact,Переименовать воронку,Что уже есть#9
Сделки и воронки,rename_funnel_stages,rename_funnel_stages,implemented_exact,Реализовано точным совпадением,exact,Переименовать одну или несколько стадий,Что уже есть#10
Сделки и воронки,update_funnel_stages,update_funnel_stages,implemented_exact,Реализовано точным совпадением,exact,"Обновить рабочие стадии воронки, названия, цвета и порядок",Что уже есть#11
Сделки и воронки,delete_funnel,delete_funnel,implemented_exact,Реализовано точным совпадением,exact,Удалить воронку,Что уже есть#12
Сделки и воронки,delete_funnel_stage,delete_funnel_stage,implemented_exact,Реализовано точным совпадением,exact,Удалить стадию воронки,Что уже есть#13
Сделки и воронки,move_deals_between_funnels,move_deals_between_funnels,implemented_exact,Реализовано точным совпадением,exact,Перенести сделки из одной воронки в другую,Что уже есть#14
Сделки и воронки,move_deals_between_stages,move_deals_between_stages,implemented_exact,Реализовано точным совпадением,exact,Перенести сделки между стадиями внутри одной воронки,Что уже есть#15
Сделки и воронки,create_crm_custom_field,create_crm_custom_field,implemented_exact,Реализовано точным совпадением,exact,Создать пользовательское поле для сделки,Что уже есть#16
Задачи,create_task,create_task,implemented_exact,Реализовано точным совпадением,exact,Создать задачу,Что уже есть#17
Задачи,search_tasks,search_tasks,implemented_exact,Реализовано точным совпадением,exact,"Найти задачи по названию, описанию, срокам, статусу и участникам",Что уже есть#18
Задачи,get_task_by_id,get_task_by_id,implemented_exact,Реализовано точным совпадением,exact,Получить полную карточку задачи по ID,Что уже есть#19
Задачи,update_task,update_task,implemented_exact,Реализовано точным совпадением,exact,"Изменить задачу: название, описание, срок, ответственного, статус, проект",Что уже есть#20
Задачи,delete_task,delete_task,implemented_exact,Реализовано точным совпадением,exact,Удалить задачу,Что уже есть#21
Задачи,clear_task_deadline,clear_task_deadline,implemented_exact,Реализовано точным совпадением,exact,Снять дедлайн с задачи,Что уже есть#22
Задачи,detach_task_from_group,detach_task_from_group,implemented_exact,Реализовано точным совпадением,exact,Отвязать задачу от проекта или группы,Что уже есть#23
Задачи,add_task_result,add_task_result,implemented_exact,Реализовано точным совпадением,exact,Добавить официальный результат работы в задачу,Что уже есть#24
Задачи,send_chat_message,send_chat_message,implemented_exact,Реализовано точным совпадением,exact,Написать комментарий в чат задачи,Что уже есть#25
Участники задач,search_users,search_users,implemented_exact,Реализовано точным совпадением,exact,Найти пользователя и получить его ID,Что уже есть#26
Участники задач,add_accomplices,add_accomplices,implemented_exact,Реализовано точным совпадением,exact,Добавить соисполнителей в задачу,Что уже есть#27
Участники задач,delete_accomplices,delete_accomplices,implemented_exact,Реализовано точным совпадением,exact,Удалить соисполнителей из задачи,Что уже есть#28
Участники задач,add_auditors,add_auditors,implemented_exact,Реализовано точным совпадением,exact,Добавить наблюдателей в задачу,Что уже есть#29
Участники задач,add_current_user_as_auditor,add_current_user_as_auditor,implemented_exact,Реализовано точным совпадением,exact,Добавить текущего пользователя наблюдателем,Что уже есть#30
Участники задач,delete_auditors,delete_auditors,implemented_exact,Реализовано точным совпадением,exact,Удалить наблюдателей из задачи,Что уже есть#31
Чек-листы,create_check_list,create_check_list,implemented_exact,Реализовано точным совпадением,exact,Создать чек-лист в задаче,Что уже есть#32
Чек-листы,create_check_list_item,create_check_list_item,implemented_exact,Реализовано точным совпадением,exact,Добавить пункт чек-листа,Что уже есть#33
Чек-листы,update_check_list,update_check_list,implemented_exact,Реализовано точным совпадением,exact,Изменить название или порядок чек-листа,Что уже есть#34
